settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	shipment-fee-type	shipment-fee-amount	order-fee-type	order-fee-amount	fulfillment-id	posted-date	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	price-type	price-amount	item-related-fee-type	item-related-fee-amount	misc-fee-amount	other-fee-amount	other-fee-reason-description	direct-payment-type	direct-payment-amount	other-amount
18604596122	2022-10-13T07:47:18+00:00	2022-10-20T07:45:33+00:00	2022-10-22T07:45:33+00:00	11036.61	INR																											
18604596122						Order	171-3283864-1340329			DTV2dLZTQ	Amazon.in					MFN	2022-10-15T05:24:44+00:00	30836506383947			EBDiaper-XXXL-48-1	1										
18604596122						Order	171-3283864-1340329			DTV2dLZTQ	Amazon.in					MFN	2022-10-15T05:24:44+00:00	30836506383947			EBDiaper-XXXL-48-1		Principal	981.25								
18604596122						Order	171-3283864-1340329			DTV2dLZTQ	Amazon.in					MFN	2022-10-15T05:24:44+00:00	30836506383947			EBDiaper-XXXL-48-1		Product Tax	117.75								
18604596122						Order	171-3283864-1340329			DTV2dLZTQ	Amazon.in					MFN	2022-10-15T05:24:44+00:00	30836506383947			EBDiaper-XXXL-48-1		TCS-IGST	-9.81								
18604596122						Order	171-3283864-1340329			DTV2dLZTQ	Amazon.in					MFN	2022-10-15T05:24:44+00:00	30836506383947			EBDiaper-XXXL-48-1				Commission	-87.92						
18604596122						Order	171-3283864-1340329			DTV2dLZTQ	Amazon.in					MFN	2022-10-15T05:24:44+00:00	30836506383947			EBDiaper-XXXL-48-1				Commission IGST	-15.83						
18604596122						Order	171-3283864-1340329			DTV2dLZTQ	Amazon.in					MFN	2022-10-15T05:24:44+00:00	30836506383947			EBDiaper-XXXL-48-1				Fixed closing fee	-58.00						
18604596122						Order	171-3283864-1340329			DTV2dLZTQ	Amazon.in					MFN	2022-10-15T05:24:44+00:00	30836506383947			EBDiaper-XXXL-48-1				Fixed closing fee IGST	-10.44						
18604596122						Order	405-6601736-8822726			DZtgcvb6Q	Amazon.in					MFN	2022-10-16T05:55:51+00:00	42544873246091			EBDiaper-XXXL-48-1	1										
18604596122						Order	405-6601736-8822726			DZtgcvb6Q	Amazon.in					MFN	2022-10-16T05:55:51+00:00	42544873246091			EBDiaper-XXXL-48-1		Principal	981.25								
18604596122						Order	405-6601736-8822726			DZtgcvb6Q	Amazon.in					MFN	2022-10-16T05:55:51+00:00	42544873246091			EBDiaper-XXXL-48-1		Product Tax	117.75								
18604596122						Order	405-6601736-8822726			DZtgcvb6Q	Amazon.in					MFN	2022-10-16T05:55:51+00:00	42544873246091			EBDiaper-XXXL-48-1		TCS-IGST	-9.81								
18604596122						Order	405-6601736-8822726			DZtgcvb6Q	Amazon.in					MFN	2022-10-16T05:55:51+00:00	42544873246091			EBDiaper-XXXL-48-1				Commission	-87.92						
18604596122						Order	405-6601736-8822726			DZtgcvb6Q	Amazon.in					MFN	2022-10-16T05:55:51+00:00	42544873246091			EBDiaper-XXXL-48-1				Commission IGST	-15.83						
18604596122						Order	405-6601736-8822726			DZtgcvb6Q	Amazon.in					MFN	2022-10-16T05:55:51+00:00	42544873246091			EBDiaper-XXXL-48-1				Fixed closing fee	-58.00						
18604596122						Order	405-6601736-8822726			DZtgcvb6Q	Amazon.in					MFN	2022-10-16T05:55:51+00:00	42544873246091			EBDiaper-XXXL-48-1				Fixed closing fee IGST	-10.44						
18604596122						Order	408-4929665-5609161			DQ4Qch2QQ	Amazon.in					MFN	2022-10-20T05:33:23+00:00	23680446611835			EBDiaper-XXXL-52	1										
18604596122						Order	408-4929665-5609161			DQ4Qch2QQ	Amazon.in					MFN	2022-10-20T05:33:23+00:00	23680446611835			EBDiaper-XXXL-52		Principal	888.98								
18604596122						Order	408-4929665-5609161			DQ4Qch2QQ	Amazon.in					MFN	2022-10-20T05:33:23+00:00	23680446611835			EBDiaper-XXXL-52		Product Tax	160.02								
18604596122						Order	408-4929665-5609161			DQ4Qch2QQ	Amazon.in					MFN	2022-10-20T05:33:23+00:00	23680446611835			EBDiaper-XXXL-52		TCS-IGST	-8.89								
18604596122						Order	408-4929665-5609161			DQ4Qch2QQ	Amazon.in					MFN	2022-10-20T05:33:23+00:00	23680446611835			EBDiaper-XXXL-52				Commission	-83.92						
18604596122						Order	408-4929665-5609161			DQ4Qch2QQ	Amazon.in					MFN	2022-10-20T05:33:23+00:00	23680446611835			EBDiaper-XXXL-52				Commission IGST	-15.11						
18604596122						Order	408-4929665-5609161			DQ4Qch2QQ	Amazon.in					MFN	2022-10-20T05:33:23+00:00	23680446611835			EBDiaper-XXXL-52				Fixed closing fee	-58.00						
18604596122						Order	408-4929665-5609161			DQ4Qch2QQ	Amazon.in					MFN	2022-10-20T05:33:23+00:00	23680446611835			EBDiaper-XXXL-52				Fixed closing fee IGST	-10.44						
18604596122						Order	171-2716146-7657159			DQ3844VMQ	Amazon.in					MFN	2022-10-19T05:51:08+00:00	31996168807475			EBDiaper-XXXL-64	1										
18604596122						Order	171-2716146-7657159			DQ3844VMQ	Amazon.in					MFN	2022-10-19T05:51:08+00:00	31996168807475			EBDiaper-XXXL-64		Principal	1058.48								
18604596122						Order	171-2716146-7657159			DQ3844VMQ	Amazon.in					MFN	2022-10-19T05:51:08+00:00	31996168807475			EBDiaper-XXXL-64		Product Tax	190.52								
18604596122						Order	171-2716146-7657159			DQ3844VMQ	Amazon.in					MFN	2022-10-19T05:51:08+00:00	31996168807475			EBDiaper-XXXL-64		TCS-SGST	-5.29								
18604596122						Order	171-2716146-7657159			DQ3844VMQ	Amazon.in					MFN	2022-10-19T05:51:08+00:00	31996168807475			EBDiaper-XXXL-64		TCS-CGST	-5.29								
18604596122						Order	171-2716146-7657159			DQ3844VMQ	Amazon.in					MFN	2022-10-19T05:51:08+00:00	31996168807475			EBDiaper-XXXL-64				Commission	-99.92						
